tier,id,display_name,task_category,what,goal,ai_tools,result,result_detail,is_anonymous
1,seed-t1-001,さっちん,ライティング,PTA総会の議事録,分かりやすい形式で保護者に配布,ChatGPT,solved,2時間かかってた議事録が30分で終わるようなりました。音声メモをそのまま貼り付けて「議事録にして」と頼むだけ。箇条書きにしてもらって「次回の宿題」も足してもらったら、ほかの役員から「読みやすくなった！」って言われました。パソコン苦手でも本当にできます。,False
1,seed-t1-002,けいこ@自治会,自動化,住民アンケートの集計,Googleフォームの回答を自動でまとめたい,ChatGPT / Gemini,solved,夏祭りのアンケート100件分の回答をGoogleスプレッドシートからコピーして「参加者の意見を項目別にまとめて」と頼んだら5分で終わった。毎年3時間かかってたのに。「来年もやってほしい」「駐車場が足りない」みたいな意見を勝手にグループ分けしてくれる。,False
1,seed-t1-003,まゆ,自動化,請求書の金額計算,Excelで自動計算できるようにしたい,ChatGPT,partial,Excel関数教えてもらって基本的な計算は自動化できた。ただ消費税の端数処理が会社のルールと違っていてそこだけ手動で直してる。。。まあいか,False
1,seed-t1-004,たかし,ライティング,工事完了報告書,現場監督でも簡単に書ける形式に,ChatGPT,solved,うちの親方たち文章苦手だから穴埋め形式のテンプレート作ってもらった。これだけで報告書の提出率上がった。,False
1,seed-t1-005,居酒屋やってます,自動化,アルバイトのシフト表,希望を聞いて自動で組みたい,ChatGPT,partial,叩き台は作ってもらえるけど、人間関係までは考慮できないから最後は自分で調整してる。まあ0から考えるよりマシ。,False
1,seed-t1-006,麺屋まさお,ライティング,新メニューのPOP,お客さんの目を引くキャッチコピー,ChatGPT,solved,「寒い日はこれ一択」っていうコピー採用した。自分では絶対思いつかなかった笑,False
1,seed-t1-007,ゆきんこ先生,ライティング,保護者向けのお便り,季節の挨拶を入れて温かみのある文章に,ChatGPT,solved,「10月の保育園便り、季節の挨拶から始めて」と頼むだけ。園長先生に「最近のお便り、文章が上手になったね」と言われてちょっと複雑だけど嬉しい（笑）,False
1,seed-t1-008,としお,分析,年間の収支報告,グラフ付きで分かりやすく,ChatGPT / Gemini,partial,Excelのグラフって自動で作ってくれると思ってた。教えてくれるだけだった。,False
1,seed-t1-009,塗装のヤマちゃん,ライティング,見積書の説明文,素人のお客様にも分かりやすく,ChatGPT,solved,「シーラー」とか専門用語ばかりの見積書を「わかりやすく説明して」って頼んだら「壁と塗料をくっつける接着剤の役割」みたいに書いてくれた。客からの細かい質問がだいぶ減った。,False
1,seed-t1-010,みほ,自動化,Excelの勤怠集計,毎月末の手作業集計をなくしたい,ChatGPT,solved,スタッフ10人分の出勤時間を毎月手で足してたのをVBAマクロで自動化してもらった。「開発者タブがないんですけど」って言ったら設定方法から教えてくれた。今は数字を入力するだけで給与計算用の集計表が自動で出てくる。,False
1,seed-t1-011,cafe_momo,ライティング,Instagramの投稿文,おしゃれな文章で集客したい,ChatGPT,solved,写真は撮れるけど文章ほんと苦手で、いつも「本日のケーキ」しか書けなくて。ハッシュタグまで提案してくれるのほんと助かる。毎回同じ文章になってたのにいろんな書き方してくれる。,False
1,seed-t1-012,hana,リサーチ,お花の花言葉,お客様に説明できるようになりたい,ChatGPT,solved,本で調べるより早い。,False
1,seed-t1-013,なおこ,自動化,日報の集計,現場ごとの作業時間をまとめたい,ChatGPT,partial,SUMIF関数教えてもらったけど現場名の表記ゆれがあると集計されない問題が。。  入力ルール統一しないとダメって結論になった,False
1,seed-t1-014,べんとう屋のかあちゃん,ライティング,お弁当のネーミング,売れそうな名前をつけたい,ChatGPT,solved,「彩り野菜のごほうび弁当」にしたら女性客が増えた！,False
1,seed-t1-015,りえママ,自動化,LINEの欠席連絡のとりまとめ,メンバーの参加状況を素早くまとめたい,ChatGPT,partial,LINEの返信をまとめてコピペして「参加・欠席・未回答に分けて人数と名前を出して」と頼んでる。完全自動じゃないけど一人ずつスクロールして確認してた作業が激減。Googleフォームにすればいいのはわかってるけど、保護者がLINEしか使わないから仕方ない。,False
1,seed-t1-016,のぶこ,分析,直売所の売上データ分析,何が売れてるか時間帯別に把握したい,ChatGPT / Gemini,solved,手書きの売上帳をスプレッドシートに打ち込んで3ヶ月分の数字を渡したら「カボチャは土曜午前に集中」「雨の日はトマトが売れない」とかパターン出してくれた。数式の組み方も教えてもらって今は自動グラフが出るようになった。,False
1,seed-t1-017,ゆかり,ライティング,物件紹介文,魅力が伝わる文章にしたい,ChatGPT,solved,「若いカップル向けに」って指定したらそれっぽい文章出てきた。問い合わせ増えた気がする。,False
1,seed-t1-018,解体屋けん,ライティング,近隣への挨拶文,工事の理解を得られる丁寧な文章,ChatGPT,solved,使い回せるテンプレできた。日程と連絡先だけ変えればOK。,False
1,seed-t1-019,あやの,自動化,保育日誌の作成効率化,手書きメモから日誌の清書を楽にしたい,ChatGPT,partial,活動中に取ったメモ「そら組、砂場遊び、けんか1件、おやつ完食」みたいな箇条書きを貼り付けて日誌の体裁に整えてもらってる。子どもの名前のとこ誤字がたまにあるから確認は必要だけど、かなり楽なった。,False
1,seed-t1-020,美容室COCO,ライティング,DMのお知らせ文,再来店を促したい,ChatGPT,solved,「しつこくなく、でも来たくなるように」って無茶振りしたら応えてくれた。ほんとに？って思ったけど実際予約の電話がふえった！,False
1,seed-t1-021,けんいち,ライティング,お客様への説明,工法の違いを分かりやすく,ChatGPT,solved,客に「説明わかりやすいね」って言われた。実はAIなんですけど笑,True
1,seed-t1-022,こども食堂のひろ,ライティング,寄付のお礼状,感謝の気持ちが伝わる文章,ChatGPT,solved,こういうのって書き慣れてないと言葉が出てこないんですよね。下書きを出してもらって、自分で少し手を入れて送りました。寄付してくださった方から「丁寧な手紙ありがとう」と連絡がきた時は本当に嬉しかったです。,False
1,seed-t1-023,さんぱいのひと,自動化,廃棄物受入の記録管理,紙の受付票をデジタル化して集計を楽にしたい,ChatGPT,partial,GoogleフォームとスプレッドシートをAIに教えてもらって受付票をデジタル化した。月次の集計が自動になってマニフェストとの照合が楽になったが、年配の業者さんにQRコードを読んでもらうのに苦労してる。紙と併用中。,False
1,seed-t1-024,きよこ,リサーチ,シミ抜きの方法,お客様に説明できるようになりたい,ChatGPT,solved,素材別の注意点まで教えてくれる。ベテランの知識と組み合わせて使ってる。,False
1,seed-t1-025,シフト地獄,自動化,コンビニのシフト作成,公平で全員が納得するシフト,ChatGPT,unsolved,条件複雑すぎて何度やっても矛盾出る。結局シフト専用アプリ入れた。AIは何でもできるわけじゃない。,True
1,seed-t1-026,ゆいか,リサーチ,冷蔵庫の残り物でレシピを考える,今夜のご飯を決めたい,ChatGPT,solved,「ナス、卵、小松菜、鶏ムネ肉があります」って入力するだけで5品くらい提案してくれる。スーパーに行く前に聞けば無駄買いも減った。,False
1,seed-t1-027,たびすき,リサーチ,子連れ旅行の旅程作成,予算と子ども連れの条件で最適なプランを作りたい,ChatGPT,solved,「子ども2人（5歳と8歳）、予算15万、3泊4日、沖縄」って入れたら宿から移動手段、子どもが飽きないスポットの回り順まで全部出てきた。旅行代理店いらなくなるな、ほんと。,False
1,seed-t1-028,ふみお,リサーチ,保険の約款の解読,自分に必要な保障が入っているか確認したい,ChatGPT / Gemini,solved,保険の約款ってずっと放置してたんですが、気になるページ撮って「これって要するに何？」って聞いたら普通の言葉で教えてくれました。「この特約は外せるかもしれない」って気づいて年間1万5千円くらい節約になった。ちゃんと読んでなかった自分を反省しつつ、助かりまいた。,False
1,seed-t1-029,びょうきかも,リサーチ,体の症状から受診タイミングの判断,病院に行くべきか夜間救急を使うべきか判断したい,ChatGPT,partial,38.5度の熱が2日続いてるって言ったら「内科か耳鼻科に」って言われた。そうじゃなくて今夜救急行くべきか聞きたかった。結局「必ず医師に相談を」しか言わないから判断できなかった。まあ仕方ないけど。,True
1,seed-t1-030,てるこ,リサーチ,親の相続手続き,何から始めればいいか知りたい,ChatGPT,solved,父が亡くなって、何の書類が必要か全くわからなくて途方に暮れてた。「まず何をすればいいか」から聞いたら、死亡届から年金停止の手続き、相続放棄の期限まで順番に教えてくれた。司法書士に相談するタイミングも教えてもらえて、お葬式の後でも何とかなった。,False
1,seed-t1-031,えいご無理,ライティング,取引先への英語メール返信,失礼のない英語で返事をしたい,ChatGPT,solved,英語のメールが来るたびに冷や汗かいてたけど、相手のメールと「こう返したい」という日本語を貼り付けたら完璧な英語にしてくれる。もう怖くない。,False
1,seed-t1-032,てちおじ,リサーチ,家電の取扱説明書の解読,電子レンジのスチーム機能を使いたい,ChatGPT,solved,型番と「スチーム機能の使い方」を聞いたら一発で解決。説明書読んだことない。,False
1,seed-t1-033,ゆかまま,リサーチ,子どもの算数の宿題の説明,小3の問題をわかりやすく教えてあげたい,ChatGPT,partial,「小3でもわかるように教えて」って頼むんだけどたまに難しい説明してくる。子どもより私が勉強になってる気がする。,False
1,seed-t1-034,デブと戦ってる,リサーチ,無理のないダイエット計画,3ヶ月で5kg痩せたい,ChatGPT,unsolved,完璧な計画は立ててもらった。  実行できてない。  それはAIのせいじゃない。わかってる。,False
1,seed-t1-035,もういやだ残業,ライティング,毎週提出する週報,5分で終わらせたい,ChatGPT,solved,先週と同じ内容を貼り付けて「少し言い回しを変えて」だけで完成する。上司も気づいてない。週報という制度そのものへの疑問は残りつつも、当面はこれで乗り越える。,True
1,seed-t1-036,ちか,ライティング,ホームページ用の会社紹介文,プロっぽい文章にしたい,ChatGPT,partial,「プロっぽい会社紹介文作って」って頼んだけど薄い文章しか出てこない。。何度やっても当たりさわりのない内容。。自分で書いた方がよかった気がしてきた,False
1,seed-t1-037,まさき,リサーチ,省エネリフォームの補助金情報,今年使える補助金の種類と金額を知りたい,ChatGPT,unsolved,補助金の情報を教えてもらったけど、後で調べたら制度が変わってて使えなかった。AIって最新情報に弱いんだな。,False
1,seed-t1-038,のりこ,ライティング,お客様へのお礼メールのテンプレ,状況別に使い分けできる複数パターンを作りたい,ChatGPT,partial,「お礼メールのテンプレを作って」って頼んだら1種類だけ出てきた。何パターンも欲しかったのに。もう1回頼んでも似たようなのしか来ない。,False
1,seed-t1-039,なつめ,ライティング,自己紹介文の作成,転職活動用のプロフィールを仕上げたい,ChatGPT,partial,昨日の続きから作業しようとしたら全部忘れられてた。また最初から説明するのが面倒すぎる。もう少し賢いと思ってた。,False
1,seed-t1-040,かなこ,自動化,ExcelのVBAマクロのエラー修正,教えてもらったマクロを動かしたい,ChatGPT,unsolved,ChatGPTに書いてもらったマクロを貼り付けたらエラーが出た。「うまく動きません」って送ったら違うコードが来て、それも動かなかった。3回繰り返して諦めた。,False
1,seed-t1-041,もえ,リサーチ,レシピ検索,夜ごはんを決めたい,ChatGPT,solved,秒で解決した。,False
1,seed-t1-042,だいちゃん,自動化,Excelでグラフ作成,売上の推移を見やすくしたい,ChatGPT,unsolved,無理でした。,False
1,seed-t1-043,たなか,ライティング,取引先へのお断りメール,角が立たないように断りたい,ChatGPT,partial,正直最初はうまくいったんですよ。断りメールを作ってもらって、まあまあいい感じで送ったんです。でも相手から返信きて、その返信にもAIで答えようとしたら急に文体が硬くなってしまって。「丁寧にしたい」って言い直したら今度は逆に馴れ馴れしくなってしまって。。もうなんか3往復くらいやって、途中から自分でもどうしたいのかわからなくなってきて笑、最終的には全部自分で書きました。まあ最初のたたき台にはなったかな。なったのかな？わからん。,False
2,seed-t2-001,まなみん,ライティング,提案書のたたき台,営業さんがすぐ使える形式に,ChatGPT,solved,業界知識ゼロで提案書のたたき台を作るの、毎回しんどかった。「〇〇業界が抱える課題と、それに対する提案書を作って」って入れるとそれっぽいの出てくる。営業が手直しする前提ではあるけど、0からよりは全然早い。最近「助かる」って言われるようになった。,False
2,seed-t2-002,しんぺい,分析,経費の分析レポート,部門別の傾向を可視化,ChatGPT,partial,数字をExcelからコピペして「傾向を分析して」と頼むと、それっぽい分析が返ってくる。でも社内事情（人事異動とか部署の特殊事情）は当然知らないので的外れなことも多い。要約係として割り切って使ってる。,False
2,seed-t2-003,タカ@就活,ライティング,エントリーシートの添削,より印象的な文章にしたい,ChatGPT / Claude,solved,ES添削してもらった。「なぜそう思ったのか」を深掘りする質問が来て、自己分析にもなった。友達にも勧めまくってる。内定もらえたのはAIのおかげかもしれない。,False
2,seed-t2-004,りょう,ライティング,論文のアブストラクト,英語で分かりやすく書きたい,ChatGPT / Claude,solved,日本語で書いた概要を英語にしてもらって「学術論文らしい表現に」とお願いした。指導教官にも「英語うまくなったね」と言われましたが、AIです先生...。専門用語のチェックは自分でやったけど、8割の時間は節約できたと思う。,True
